,tag,Question,Reponse
0,Droit Commercial et économique : Droit des Sociétés,pénalité de retard dépôt des bilans ,Le bilan consolidé c'est le bilan d'un groupe de société ( plusieurs sociétés appartenant totalement ou partiellement au même associé) ça n'a rien a voir avec le retard de dépôt .
1,Droit Commercial et économique : Droit des Sociétés,Honoraires représentant légal ,"Il n'y a pas de lois qui fixe le montant d'honoraires ou de salaire de représentant légal , c'est a vous de vous entendre sur le montant"
2,Droit Commercial et économique : Droit des Sociétés,Transformation d'une SUARL à SA,"Bonjour Citation de: YoussefKefi le 14 septembre 2020, 09:46:51 am 09:46une SUARL peut-elle être transformer en SA directement sans passer par la forme SARL ?Oui Citation de: YoussefKefi le 14 septembre 2020, 09:46:51 am 09:46quelle est la procédure (résolutions, dépôts, publications, etc. ...) et les délais légaux ?Le mieux est de confier ce travail à un professionnel (c'est complexe) "
3,Droit Commercial et économique : Droit des Sociétés,Transformation d'une SUARL à SA,"Oui , c'est possible , il suffit d'effectuer les étapes de modification de société habituelle ( signature PV , enregistrement , déposer le dossier auprès de la RNE ) , mais il mieux créer une nouvelle société et fermer la SUARL"
4,Droit Commercial et économique : Droit des Sociétés,changement siège social,Bonjour - Établir un PV AGO ou AGE (voir statuts) - Enregistrer le PV - Faire un demande au bureau de contrôle des impôts  compétant pour changer la patente - Déposer un dossier de transfert du siège social au RNE (voir le site du RNE ) 
5,Droit Commercial et économique : Droit des Sociétés,Dépôt des états financiers ,"BonjourCitation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44est ce que je doit déposer les états financiers des 3 dernières années au RNE ? Oui, Article 32 de la loi n° 2018-52 du 29 octobre 2018 relative au Registre National des EntreprisesCitation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44y a t-il une pénalité pour le retard ?Oui Citation de: HASSEN MKAISSI le 13 juillet 2020, 02:44:17 pm 14:44les états doivent être déposer en ligne (c.a.d. par internet ) ou physiquement au lieu de l'RNE ?En ligne (par internet ) "
6,Droit Commercial et économique : Droit des Sociétés,Dépôt des états financiers ,"Désolé, A compter du mois de septembre 2020, le dépôt des états financiers se fera 100% en ligne, selon un communiqué du Registre national des entreprises (RNE) sur sa plateforme  e-bilan"
7,Droit Commercial et économique : Droit des Sociétés,date de jouissance de dividende,"Bonjour Citation de: RIM.S le 13 juillet 2020, 06:41:35 pm 18:41j'ai un cas de cession d'actions qui s'est passé avant l'AGO décidant les dividendes. est ce que les dividendes sont le droit du cédant ou du cessionnaire.Les dividendes reviennent normalement au cessionnaire sauf clause contraire dans l'acte de cession "
8,Droit Commercial et économique : Droit des Sociétés,"assemblée générale , société sans mouvement","Citation de: HASSEN MKAISSI le 24 juin 2020, 02:47:10 pm 14:47est il obligatoire de faire une assemblée générale pour un société créé en Novembre 2019 et n'a aucun mouvement sur l'exercice 2019 ?De préférence est de faire une assemblée généraleCitation de: HASSEN MKAISSI le 24 juin 2020, 02:47:10 pm 14:47ainsi que pour l'acompte provisionnel ?Selon l'Article 51 paragraphe III "" Les acomptes provisionnels payables à compter de la deuxième année d'activité sont perçus par échéance égale chacune à 30% de l'impôt dû au titre des revenus ou bénéfices de l'année précédente."""
9,Droit Commercial et économique : Droit des Sociétés,Acompte sur dividendes,"BonjourCitation de: HASSEN MKAISSI le 21 juin 2020, 09:24:44 am 09:24les Actionnaires ont ils le droit d'avoir une acompte au mois de juillet sur les dividendes ( des profits de l'exercice 2019 )  ?vu que le bilan de l'exercice au 31/12/2019 présente un profit si oui quels sont les conditions ?Non, n'ont pas droit à des acomptes sur les dividendes Mais,  ils peuvent décider l'affectation du résultat de l'exercice 2019 et distribuer des dividendes et  pour cela il faut établir un PV de l'AGO Remarque : les dividendes sont soumis à une retenue à la source de 10% "
